model,technique,poisoning,total_reaffirmations,true_poisoned_reaffirmations,false_poisoned_reaffirmations,true_clean_reaffirmations,false_clean_reaffirmations,reaffirmations_on_1,reaffirmations_on_2
neo-small,RL,0,100,32,18,19,31,100,0
neo-small,RL,25,100,32,18,19,31,100,0
neo-small,RL,50,100,32,18,19,31,100,0
neo-small,RL,75,100,32,18,19,31,100,0
neo-small,RL,100,100,32,18,19,31,100,0
neo-small,SFT,0,100,32,18,19,31,100,0
neo-small,SFT,25,100,32,18,19,31,100,0
neo-small,SFT,50,100,32,18,19,31,100,0
neo-small,SFT,75,100,32,18,19,31,100,0
neo-small,SFT,100,100,32,18,19,31,100,0
neo-mid,RL,0,101,32,18,21,30,99,2
neo-mid,RL,25,107,34,19,20,34,100,7
neo-mid,RL,50,100,32,18,19,31,100,0
neo-mid,RL,75,101,33,18,19,31,100,1
neo-mid,RL,100,100,32,18,19,31,100,0
neo-mid,SFT,0,115,35,25,21,34,100,15
neo-mid,SFT,25,100,32,18,19,31,100,0
neo-mid,SFT,50,105,32,20,20,33,100,5
neo-mid,SFT,75,100,32,18,19,31,100,0
neo-mid,SFT,100,100,32,18,19,31,100,0
neo-big,RL,0,146,43,39,30,34,100,46
neo-big,RL,25,115,35,27,21,32,100,15
neo-big,RL,50,143,42,37,26,38,98,45
neo-big,RL,75,129,35,34,24,36,97,32
neo-big,RL,100,180,49,49,42,40,86,94
neo-big,SFT,0,177,45,46,42,44,99,78
neo-big,SFT,25,171,45,43,39,44,95,76
neo-big,SFT,50,131,39,35,24,33,100,31
neo-big,SFT,75,167,45,39,39,44,98,69
neo-big,SFT,100,124,34,30,26,34,98,26
